player_dist,nn1_dist,nn2_dist,nn3_dist,nn4_dist,nn5_dist
0.000000000000000000e+00,3.324758809821036325e-03,3.581270343849418669e-03,4.626905228359286942e-03,4.728869870346883234e-03,4.739899914091177426e-03
0.000000000000000000e+00,3.276763675672121363e-03,3.835214464046445785e-03,4.105036965644333867e-03,5.816837144891034983e-03,6.375416301973759435e-03
0.000000000000000000e+00,4.650306591708249990e-03,5.483932868396079394e-03,5.869230176287618637e-03,6.753687127804271044e-03,6.816643398342994709e-03
0.000000000000000000e+00,1.750190443877741413e-03,2.880541679779772754e-03,4.798882796054227719e-03,6.079596455207809426e-03,6.215399803381531363e-03
0.000000000000000000e+00,6.190566235305821480e-03,6.565749357360637674e-03,6.648063442994987110e-03,6.714388185689650242e-03,7.163529235004724958e-03
0.000000000000000000e+00,3.825938215979476573e-03,5.154684653568285951e-03,5.175379736598454891e-03,5.225071846041675488e-03,5.365428980741442262e-03
0.000000000000000000e+00,4.586334472241393630e-03,4.630133170649738950e-03,5.241111491628853633e-03,5.532237662059126017e-03,6.373491739797418863e-03
0.000000000000000000e+00,5.432976303424740146e-03,5.926370403506777719e-03,7.080309831799306425e-03,7.399433881160576328e-03,7.572326302856451606e-03
0.000000000000000000e+00,4.387376091577490506e-03,4.780820360884316216e-03,4.873028260554385961e-03,7.194588395439491940e-03,9.017639376602762033e-03
0.000000000000000000e+00,3.017347874189657379e-03,6.913049907043183721e-03,7.656101099850055533e-03,7.863796752706243842e-03,8.683310093268262544e-03
0.000000000000000000e+00,2.656884379813736867e-03,3.276763675672121363e-03,4.980778474771427843e-03,5.737450035346032366e-03,5.971225404159344156e-03
0.000000000000000000e+00,3.264313207900070880e-03,4.586334472241393630e-03,5.315101813705148427e-03,5.842574507423767619e-03,5.943648792163821679e-03
0.000000000000000000e+00,2.484860037172255919e-03,3.825938215979476573e-03,4.599833425900868612e-03,4.841917074336129535e-03,5.221252239249184711e-03
0.000000000000000000e+00,3.783422315307294749e-04,1.959772539421556284e-03,4.780820360884316216e-03,5.929415321664473215e-03,6.190566235305821480e-03
0.000000000000000000e+00,7.527614564084097321e-03,9.445754483810211294e-03,1.064384365541500357e-02,1.167383991617803631e-02,1.202449170970738140e-02
0.000000000000000000e+00,3.857702986069484925e-03,3.992965226528125480e-03,4.195716590178070853e-03,4.441316648001262732e-03,4.728869870346883234e-03
0.000000000000000000e+00,8.732014239473498071e-03,9.437249162824659990e-03,1.036761363849421531e-02,1.049718472426949302e-02,1.061689518370106250e-02
0.000000000000000000e+00,6.245867360838074263e-03,8.216375992306221288e-03,8.615147095814177855e-03,9.496772490802459984e-03,1.230064796543183479e-02
0.000000000000000000e+00,3.683479300436493745e-03,7.467349228272904781e-03,8.208390409780531860e-03,8.404799133140072875e-03,8.404942090530224258e-03
0.000000000000000000e+00,8.226384995937417385e-03,8.282240057860964025e-03,9.331313110839517186e-03,9.495787515726689110e-03,9.823397913974817042e-03
