y,x,opp_fga,opp_fg,opp_pts,opp_ssce,opp_prla,dist
7.5,-52.5,0.0,0.0,0.0,-0.624,0.0,5.52
7.5,-47.5,0.0,0.0,0.0,-0.475,0.0,5.02
7.5,-42.5,0.0,0.0,0.0,-0.576,0.0,4.53
7.5,-37.5,0.0,0.0,0.0,-0.557,0.0,4.03
7.5,-32.5,3.0,0.0,0.0,-0.584,-1.752,3.54
7.5,-27.5,3.0,1.0,2.0,0.002,0.006,3.04
7.5,-22.5,3.0,1.0,2.0,0.045,0.135,2.55
7.5,-17.5,4.0,2.0,4.0,0.092,0.37,2.06
7.5,-12.5,9.0,4.0,8.0,-0.051,-0.455,1.58
7.5,-7.5,13.0,9.0,18.0,0.358,4.66,1.12
7.5,-2.5,11.0,7.0,14.0,0.248,2.725,0.71
7.5,2.5,14.0,9.0,18.0,0.209,2.921,0.5
7.5,7.5,17.0,10.0,20.0,0.226,3.834,0.71
7.5,12.5,8.0,2.0,4.0,-0.359,-2.871,1.12
7.5,17.5,3.0,1.0,2.0,-0.198,-0.595,1.58
7.5,22.5,3.0,1.0,2.0,-0.204,-0.611,2.06
7.5,27.5,1.0,1.0,2.0,1.328,1.328,2.55
7.5,32.5,2.0,0.0,0.0,-0.577,-1.155,3.04
7.5,37.5,3.0,0.0,0.0,-0.597,-1.791,3.54
7.5,42.5,1.0,1.0,2.0,1.232,1.232,4.03
7.5,47.5,0.0,0.0,0.0,-0.674,0.0,4.53
7.5,52.5,0.0,0.0,0.0,-0.602,0.0,5.02
7.5,57.5,0.0,0.0,0.0,-0.738,0.0,5.52
7.5,62.5,0.0,0.0,0.0,-0.886,0.0,6.02
7.5,67.5,4.0,1.0,3.0,-0.136,-0.546,6.52
7.5,72.5,0.0,0.0,0.0,-0.996,0.0,7.02
12.5,-72.5,1.0,0.0,0.0,-0.831,-0.831,7.57
12.5,-67.5,1.0,0.0,0.0,-0.959,-0.959,7.07
12.5,-62.5,0.0,0.0,0.0,-0.857,0.0,6.58
12.5,-57.5,0.0,0.0,0.0,-0.775,0.0,6.08
12.5,-52.5,0.0,0.0,0.0,-0.712,0.0,5.59
12.5,-47.5,0.0,0.0,0.0,-0.642,0.0,5.1
12.5,-42.5,0.0,0.0,0.0,-0.519,0.0,4.61
12.5,-37.5,1.0,0.0,0.0,-0.548,-0.548,4.12
12.5,-32.5,4.0,1.0,2.0,-0.146,-0.584,3.64
12.5,-27.5,0.0,0.0,0.0,-0.696,0.0,3.16
12.5,-22.5,2.0,1.0,2.0,0.141,0.282,2.69
12.5,-17.5,7.0,2.0,4.0,-0.368,-2.573,2.24
12.5,-12.5,8.0,3.0,6.0,-0.174,-1.389,1.8
12.5,-7.5,6.0,3.0,6.0,0.016,0.093,1.41
12.5,-2.5,10.0,5.0,10.0,0.001,0.008,1.12
12.5,2.5,6.0,1.0,2.0,-0.579,-3.475,1.0
12.5,7.5,4.0,1.0,2.0,-0.595,-2.379,1.12
12.5,12.5,3.0,1.0,2.0,-0.348,-1.045,1.41
12.5,17.5,4.0,1.0,2.0,-0.353,-1.413,1.8
12.5,22.5,1.0,0.0,0.0,-0.761,-0.761,2.24
12.5,27.5,0.0,0.0,0.0,-0.695,0.0,2.69
12.5,32.5,2.0,1.0,2.0,0.334,0.667,3.16
12.5,37.5,2.0,0.0,0.0,-0.625,-1.249,3.64
12.5,42.5,1.0,1.0,2.0,1.374,1.374,4.12
12.5,47.5,2.0,0.0,0.0,-0.481,-0.962,4.61
12.5,52.5,0.0,0.0,0.0,-0.664,0.0,5.1
12.5,57.5,0.0,0.0,0.0,-0.653,0.0,5.59
12.5,62.5,0.0,0.0,0.0,-0.963,0.0,6.08
12.5,67.5,3.0,0.0,0.0,-0.982,-2.946,6.58
12.5,72.5,0.0,0.0,0.0,-0.774,0.0,7.07
17.5,-72.5,0.0,0.0,0.0,-0.977,0.0,7.65
17.5,-67.5,1.0,1.0,3.0,1.866,1.866,7.16
17.5,-62.5,0.0,0.0,0.0,-0.835,0.0,6.67
17.5,-57.5,0.0,0.0,0.0,-0.871,0.0,6.18
17.5,-52.5,1.0,0.0,0.0,-0.615,-0.615,5.7
17.5,-47.5,1.0,0.0,0.0,-0.451,-0.451,5.22
17.5,-42.5,2.0,2.0,4.0,1.288,2.576,4.74
17.5,-37.5,2.0,0.0,0.0,-0.636,-1.271,4.27
17.5,-32.5,2.0,0.0,0.0,-0.626,-1.251,3.81
17.5,-27.5,2.0,1.0,2.0,0.285,0.569,3.35
17.5,-22.5,1.0,0.0,0.0,-0.766,-0.766,2.92
17.5,-17.5,1.0,1.0,2.0,1.103,1.103,2.5
17.5,-12.5,2.0,1.0,2.0,0.027,0.054,2.12
17.5,-7.5,1.0,0.0,0.0,-0.893,-0.893,1.8
17.5,-2.5,5.0,3.0,6.0,0.27,1.351,1.58
17.5,2.5,6.0,3.0,6.0,0.18,1.082,1.5
17.5,7.5,3.0,2.0,4.0,0.503,1.508,1.58
17.5,12.5,1.0,1.0,2.0,1.023,1.023,1.8
17.5,17.5,3.0,0.0,0.0,-0.637,-1.911,2.12
17.5,22.5,2.0,0.0,0.0,-0.705,-1.411,2.5
17.5,27.5,1.0,0.0,0.0,-0.715,-0.715,2.92
17.5,32.5,2.0,1.0,2.0,0.408,0.815,3.35
17.5,37.5,3.0,2.0,4.0,0.705,2.115,3.81
17.5,42.5,2.0,2.0,4.0,1.329,2.658,4.27
17.5,47.5,2.0,0.0,0.0,-0.436,-0.871,4.74
17.5,52.5,1.0,0.0,0.0,-0.668,-0.668,5.22
17.5,57.5,1.0,0.0,0.0,-0.759,-0.759,5.7
17.5,62.5,0.0,0.0,0.0,-0.813,0.0,6.18
17.5,67.5,0.0,0.0,0.0,-0.906,0.0,6.67
17.5,72.5,2.0,0.0,0.0,-0.901,-1.802,7.16
22.5,-72.5,2.0,1.0,3.0,0.563,1.125,7.76
22.5,-67.5,2.0,2.0,6.0,2.046,4.092,7.28
22.5,-62.5,0.0,0.0,0.0,-0.821,0.0,6.8
22.5,-57.5,0.0,0.0,0.0,-0.981,0.0,6.32
22.5,-52.5,1.0,0.0,0.0,-0.723,-0.723,5.85
22.5,-47.5,0.0,0.0,0.0,-0.616,0.0,5.39
22.5,-42.5,3.0,0.0,0.0,-0.71,-2.13,4.92
22.5,-37.5,1.0,1.0,2.0,1.362,1.362,4.47
22.5,-32.5,3.0,1.0,2.0,0.071,0.214,4.03
22.5,-27.5,1.0,1.0,2.0,1.307,1.307,3.61
22.5,-22.5,3.0,0.0,0.0,-0.753,-2.26,3.2
22.5,-17.5,3.0,2.0,4.0,0.483,1.45,2.83
22.5,-12.5,4.0,3.0,6.0,0.588,2.351,2.5
22.5,-7.5,1.0,1.0,2.0,1.332,1.332,2.24
22.5,-2.5,4.0,0.0,0.0,-0.7,-2.801,2.06
22.5,2.5,1.0,0.0,0.0,-0.79,-0.79,2.0
22.5,7.5,3.0,1.0,2.0,-0.199,-0.598,2.06
22.5,12.5,2.0,0.0,0.0,-0.851,-1.702,2.24
22.5,17.5,3.0,0.0,0.0,-0.921,-2.763,2.5
22.5,22.5,1.0,1.0,2.0,1.325,1.325,2.83
22.5,27.5,0.0,0.0,0.0,-0.575,0.0,3.2
22.5,32.5,0.0,0.0,0.0,-0.623,0.0,3.61
22.5,37.5,2.0,1.0,2.0,0.436,0.871,4.03
22.5,42.5,3.0,0.0,0.0,-0.634,-1.902,4.47
22.5,47.5,0.0,0.0,0.0,-0.514,0.0,4.92
22.5,52.5,1.0,1.0,2.0,1.313,1.313,5.39
22.5,57.5,0.0,0.0,0.0,-0.771,0.0,5.85
22.5,62.5,0.0,0.0,0.0,-0.864,0.0,6.32
22.5,67.5,1.0,0.0,0.0,-0.964,-0.964,6.8
22.5,72.5,2.0,1.0,3.0,0.217,0.434,7.28
27.5,-72.5,1.0,0.0,0.0,-0.78,-0.78,7.91
27.5,-67.5,3.0,0.0,0.0,-1.325,-3.976,7.43
27.5,-62.5,0.0,0.0,0.0,-1.202,0.0,6.96
27.5,-57.5,0.0,0.0,0.0,-1.055,0.0,6.5
27.5,-52.5,0.0,0.0,0.0,-0.799,0.0,6.04
27.5,-47.5,1.0,0.0,0.0,-0.663,-0.663,5.59
27.5,-42.5,2.0,0.0,0.0,-0.58,-1.159,5.15
27.5,-37.5,1.0,0.0,0.0,-0.646,-0.646,4.72
27.5,-32.5,2.0,1.0,2.0,0.287,0.574,4.3
27.5,-27.5,0.0,0.0,0.0,-0.716,0.0,3.91
27.5,-22.5,0.0,0.0,0.0,-0.756,0.0,3.54
27.5,-17.5,0.0,0.0,0.0,-0.847,0.0,3.2
27.5,-12.5,1.0,0.0,0.0,-0.77,-0.77,2.92
27.5,-7.5,2.0,1.0,2.0,0.23,0.46,2.69
27.5,-2.5,2.0,0.0,0.0,-0.726,-1.451,2.55
27.5,2.5,3.0,0.0,0.0,-0.732,-2.195,2.5
27.5,7.5,2.0,1.0,2.0,0.28,0.56,2.55
27.5,12.5,2.0,2.0,4.0,1.244,2.488,2.69
27.5,17.5,0.0,0.0,0.0,-0.655,0.0,2.92
27.5,22.5,1.0,1.0,2.0,1.35,1.35,3.2
