y,x,opp_fga,opp_fg,opp_pts,opp_ssce,opp_prla,dist
7.5,-52.5,0.0,0.0,0.0,-0.624,0.0,5.52
7.5,-47.5,0.0,0.0,0.0,-0.475,0.0,5.02
7.5,-42.5,1.0,0.0,0.0,-0.576,-0.576,4.53
7.5,-37.5,0.0,0.0,0.0,-0.557,0.0,4.03
7.5,-32.5,2.0,0.0,0.0,-0.584,-1.168,3.54
7.5,-27.5,3.0,1.0,2.0,0.002,0.006,3.04
7.5,-22.5,2.0,0.0,0.0,-0.622,-1.244,2.55
7.5,-17.5,3.0,0.0,0.0,-0.908,-2.723,2.06
7.5,-12.5,16.0,8.0,16.0,0.061,0.969,1.58
7.5,-7.5,22.0,12.0,24.0,0.065,1.424,1.12
7.5,-2.5,17.0,8.0,16.0,-0.084,-1.426,0.71
7.5,2.5,19.0,9.0,18.0,-0.13,-2.464,0.5
7.5,7.5,22.0,9.0,18.0,-0.133,-2.921,0.71
7.5,12.5,10.0,2.0,4.0,-0.459,-4.589,1.12
7.5,17.5,7.0,1.0,2.0,-0.579,-4.054,1.58
7.5,22.5,2.0,2.0,4.0,1.13,2.259,2.06
7.5,27.5,2.0,0.0,0.0,-0.672,-1.345,2.55
7.5,32.5,1.0,0.0,0.0,-0.577,-0.577,3.04
7.5,37.5,0.0,0.0,0.0,-0.597,0.0,3.54
7.5,42.5,2.0,2.0,4.0,1.232,2.463,4.03
7.5,47.5,2.0,1.0,2.0,0.326,0.652,4.53
7.5,52.5,1.0,0.0,0.0,-0.602,-0.602,5.02
7.5,57.5,1.0,0.0,0.0,-0.738,-0.738,5.52
7.5,62.5,0.0,0.0,0.0,-0.886,0.0,6.02
7.5,67.5,2.0,1.0,3.0,0.614,1.227,6.52
7.5,72.5,1.0,0.0,0.0,-0.996,-0.996,7.02
12.5,-72.5,0.0,0.0,0.0,-0.831,0.0,7.57
12.5,-67.5,0.0,0.0,0.0,-0.959,0.0,7.07
12.5,-62.5,0.0,0.0,0.0,-0.857,0.0,6.58
12.5,-57.5,0.0,0.0,0.0,-0.775,0.0,6.08
12.5,-52.5,0.0,0.0,0.0,-0.712,0.0,5.59
12.5,-47.5,0.0,0.0,0.0,-0.642,0.0,5.1
12.5,-42.5,4.0,0.0,0.0,-0.519,-2.075,4.61
12.5,-37.5,0.0,0.0,0.0,-0.548,0.0,4.12
12.5,-32.5,3.0,0.0,0.0,-0.646,-1.938,3.64
12.5,-27.5,3.0,0.0,0.0,-0.696,-2.088,3.16
12.5,-22.5,3.0,2.0,4.0,0.474,1.423,2.69
12.5,-17.5,4.0,2.0,4.0,0.061,0.244,2.24
12.5,-12.5,9.0,4.0,8.0,-0.035,-0.313,1.8
12.5,-7.5,7.0,2.0,4.0,-0.413,-2.891,1.41
12.5,-2.5,14.0,6.0,12.0,-0.142,-1.989,1.12
12.5,2.5,13.0,5.0,10.0,-0.143,-1.863,1.0
12.5,7.5,8.0,7.0,14.0,0.655,5.242,1.12
12.5,12.5,5.0,3.0,6.0,0.185,0.925,1.41
12.5,17.5,3.0,2.0,4.0,0.48,1.44,1.8
12.5,22.5,4.0,3.0,6.0,0.739,2.955,2.24
12.5,27.5,0.0,0.0,0.0,-0.695,0.0,2.69
12.5,32.5,2.0,1.0,2.0,0.334,0.667,3.16
12.5,37.5,1.0,0.0,0.0,-0.625,-0.625,3.64
12.5,42.5,2.0,0.0,0.0,-0.626,-1.251,4.12
12.5,47.5,0.0,0.0,0.0,-0.481,0.0,4.61
12.5,52.5,0.0,0.0,0.0,-0.664,0.0,5.1
12.5,57.5,0.0,0.0,0.0,-0.653,0.0,5.59
12.5,62.5,0.0,0.0,0.0,-0.963,0.0,6.08
12.5,67.5,0.0,0.0,0.0,-0.982,0.0,6.58
12.5,72.5,1.0,1.0,3.0,2.226,2.226,7.07
17.5,-72.5,0.0,0.0,0.0,-0.977,0.0,7.65
17.5,-67.5,1.0,0.0,0.0,-1.134,-1.134,7.16
17.5,-62.5,0.0,0.0,0.0,-0.835,0.0,6.67
17.5,-57.5,0.0,0.0,0.0,-0.871,0.0,6.18
17.5,-52.5,0.0,0.0,0.0,-0.615,0.0,5.7
17.5,-47.5,0.0,0.0,0.0,-0.451,0.0,5.22
17.5,-42.5,0.0,0.0,0.0,-0.712,0.0,4.74
17.5,-37.5,2.0,1.0,2.0,0.364,0.729,4.27
17.5,-32.5,1.0,1.0,2.0,1.374,1.374,3.81
17.5,-27.5,2.0,1.0,2.0,0.285,0.569,3.35
17.5,-22.5,2.0,1.0,2.0,0.234,0.468,2.92
17.5,-17.5,1.0,0.0,0.0,-0.897,-0.897,2.5
17.5,-12.5,1.0,1.0,2.0,1.027,1.027,2.12
17.5,-7.5,4.0,3.0,6.0,0.607,2.426,1.8
17.5,-2.5,5.0,5.0,10.0,1.07,5.351,1.58
17.5,2.5,6.0,3.0,6.0,0.18,1.082,1.5
17.5,7.5,7.0,3.0,6.0,0.027,0.186,1.58
17.5,12.5,3.0,2.0,4.0,0.357,1.07,1.8
17.5,17.5,0.0,0.0,0.0,-0.637,0.0,2.12
17.5,22.5,1.0,1.0,2.0,1.295,1.295,2.5
17.5,27.5,1.0,1.0,2.0,1.285,1.285,2.92
17.5,32.5,2.0,1.0,2.0,0.408,0.815,3.35
17.5,37.5,1.0,0.0,0.0,-0.628,-0.628,3.81
17.5,42.5,2.0,1.0,2.0,0.329,0.658,4.27
17.5,47.5,0.0,0.0,0.0,-0.436,0.0,4.74
17.5,52.5,1.0,0.0,0.0,-0.668,-0.668,5.22
17.5,57.5,2.0,1.0,2.0,0.241,0.483,5.7
17.5,62.5,0.0,0.0,0.0,-0.813,0.0,6.18
17.5,67.5,3.0,0.0,0.0,-0.906,-2.719,6.67
17.5,72.5,0.0,0.0,0.0,-0.901,0.0,7.16
22.5,-72.5,1.0,0.0,0.0,-0.937,-0.937,7.76
22.5,-67.5,1.0,0.0,0.0,-0.954,-0.954,7.28
22.5,-62.5,0.0,0.0,0.0,-0.821,0.0,6.8
22.5,-57.5,0.0,0.0,0.0,-0.981,0.0,6.32
22.5,-52.5,0.0,0.0,0.0,-0.723,0.0,5.85
22.5,-47.5,0.0,0.0,0.0,-0.616,0.0,5.39
22.5,-42.5,1.0,1.0,2.0,1.29,1.29,4.92
22.5,-37.5,1.0,0.0,0.0,-0.638,-0.638,4.47
22.5,-32.5,1.0,1.0,2.0,1.405,1.405,4.03
22.5,-27.5,0.0,0.0,0.0,-0.693,0.0,3.61
22.5,-22.5,3.0,2.0,4.0,0.58,1.74,3.2
22.5,-17.5,4.0,2.0,4.0,0.15,0.6,2.83
22.5,-12.5,1.0,1.0,2.0,1.088,1.088,2.5
22.5,-7.5,4.0,1.0,2.0,-0.168,-0.671,2.24
22.5,-2.5,3.0,1.0,2.0,-0.034,-0.101,2.06
22.5,2.5,9.0,3.0,6.0,-0.124,-1.114,2.0
22.5,7.5,4.0,2.0,4.0,0.134,0.536,2.06
22.5,12.5,4.0,2.0,4.0,0.149,0.596,2.24
22.5,17.5,1.0,0.0,0.0,-0.921,-0.921,2.5
22.5,22.5,2.0,0.0,0.0,-0.675,-1.35,2.83
22.5,27.5,0.0,0.0,0.0,-0.575,0.0,3.2
22.5,32.5,0.0,0.0,0.0,-0.623,0.0,3.61
22.5,37.5,3.0,0.0,0.0,-0.564,-1.693,4.03
22.5,42.5,0.0,0.0,0.0,-0.634,0.0,4.47
22.5,47.5,1.0,0.0,0.0,-0.514,-0.514,4.92
22.5,52.5,0.0,0.0,0.0,-0.687,0.0,5.39
22.5,57.5,0.0,0.0,0.0,-0.771,0.0,5.85
22.5,62.5,0.0,0.0,0.0,-0.864,0.0,6.32
22.5,67.5,2.0,0.0,0.0,-0.964,-1.928,6.8
22.5,72.5,1.0,1.0,3.0,1.717,1.717,7.28
27.5,-72.5,0.0,0.0,0.0,-0.78,0.0,7.91
27.5,-67.5,1.0,1.0,3.0,1.675,1.675,7.43
27.5,-62.5,0.0,0.0,0.0,-1.202,0.0,6.96
27.5,-57.5,0.0,0.0,0.0,-1.055,0.0,6.5
27.5,-52.5,0.0,0.0,0.0,-0.799,0.0,6.04
27.5,-47.5,0.0,0.0,0.0,-0.663,0.0,5.59
27.5,-42.5,1.0,0.0,0.0,-0.58,-0.58,5.15
27.5,-37.5,2.0,0.0,0.0,-0.646,-1.292,4.72
27.5,-32.5,1.0,1.0,2.0,1.287,1.287,4.3
27.5,-27.5,2.0,1.0,2.0,0.284,0.568,3.91
27.5,-22.5,2.0,0.0,0.0,-0.756,-1.512,3.54
27.5,-17.5,0.0,0.0,0.0,-0.847,0.0,3.2
27.5,-12.5,3.0,2.0,4.0,0.564,1.691,2.92
27.5,-7.5,1.0,0.0,0.0,-0.77,-0.77,2.69
27.5,-2.5,2.0,0.0,0.0,-0.726,-1.451,2.55
27.5,2.5,5.0,2.0,4.0,0.068,0.342,2.5
27.5,7.5,0.0,0.0,0.0,-0.72,0.0,2.55
27.5,12.5,3.0,1.0,2.0,-0.089,-0.268,2.69
27.5,17.5,0.0,0.0,0.0,-0.655,0.0,2.92
27.5,22.5,3.0,2.0,4.0,0.683,2.05,3.2
