p_id_retained,nn_1,nn_2,nn_3,nn_4,nn_5,dist_1,dist_2,dist_3,dist_4,dist_5
22,66,1,5,10,18,0.13492711350810851,0.15386395452528615,0.15420803871336286,0.15526952054830997,0.20113907590766542
23,45,53,64,59,76,0.2111719345060826,0.2574705611862821,0.2871386291479728,0.28906794212154246,0.32083693319901624
24,67,17,62,26,74,0.08861509727661837,0.147593527665664,0.18235912236719978,0.18629108800689845,0.1879277280962131
25,28,14,0,65,16,0.22514709061436447,0.2278847402426452,0.2284813362882267,0.23137243665085044,0.2458861016780483
26,5,18,75,43,24,0.12628682825151516,0.14473219740167204,0.1538681941820516,0.173579560529538,0.18629108800689845
27,21,65,34,0,40,0.13595783359799993,0.19576578620753488,0.19595844779835814,0.19647497068342024,0.21186155598467366
28,13,62,43,11,0,0.10951163590973075,0.1255848042578623,0.1619695927926149,0.16436730101734998,0.17095597021716646
29,38,65,72,16,48,0.12603341553458225,0.15024847074740594,0.16241216405720915,0.2122794121216119,0.2330593280403682
30,51,8,66,71,73,0.0638502844233477,0.08342534401961152,0.1511286906142826,0.17401923395783722,0.19757899907585902
31,9,34,58,7,3,0.15354741777841943,0.18669706199283725,0.19117616913582075,0.22008759837841205,0.22223640236816308
32,41,63,81,36,75,0.21854183207973793,0.22944188694081472,0.2318895034252483,0.23199634450376966,0.23217878449454823
33,39,15,3,7,43,0.1614304578001325,0.16245967058293734,0.1727961199384236,0.18283451572121243,0.21210597294405878
34,40,3,0,31,5,0.13421529841884314,0.1847359008012613,0.1853945234846004,0.18669706199283725,0.19060961134791135
35,18,26,75,5,32,0.18175357880045756,0.19464171875243746,0.23734865534219535,0.25008743033351744,0.25572871739729
36,63,41,81,32,12,0.16280406824011445,0.17318350593564333,0.17827686814375146,0.23199634450376966,0.292277635501947
37,60,49,56,2,70,0.10302089198151958,0.24141499143312684,0.26404582679745414,0.28454530408762063,0.3137012288700871
38,72,29,68,48,16,0.10210904011682634,0.12603341553458225,0.21120889794947492,0.21733049053897718,0.22760730419151634
39,15,33,43,20,14,0.11421743146190412,0.1614304578001325,0.18717996513599994,0.1992330667529367,0.22022246482512856
40,79,34,7,10,3,0.08736064512545103,0.13421529841884314,0.1682996995287564,0.1702937174098393,0.18808935128271934
41,81,63,36,48,32,0.013457994766999054,0.06589519187686592,0.17318350593564333,0.2137874159940553,0.21854183207973793
42,4,20,2,17,1,0.22894123911654088,0.3046132573574022,0.32076954934686264,0.3502224221930806,0.36636998387829184
43,62,3,15,28,0,0.13043989422939728,0.14348937389276642,0.1442350093644557,0.1619695927926149,0.1660380024380723
44,67,17,24,4,78,0.23562773193436143,0.2541000601558087,0.28699344605861354,0.2888319126557417,0.30007914340391756
45,76,23,53,59,64,0.13953428742858923,0.2111719345060826,0.2197988113066185,0.2388778271182786,0.32615608385075673
46,19,61,9,7,2,0.10932504878788565,0.21851959954211822,0.2481669184671296,0.2520033048227931,0.2521598681552238
47,50,71,8,77,69,0.2605259719623268,0.2702507572064059,0.2993936536146369,0.30419676392294337,0.3050850900362666
48,81,41,38,29,63,0.20944201465284717,0.2137874159940553,0.21733049053897718,0.2330593280403682,0.27803605628764483
49,2,60,73,66,22,0.14778359997972124,0.18323212390534946,0.2096145431253522,0.2357763258315383,0.24033828937504514
50,8,30,51,69,47,0.19221280356853848,0.2243497988843877,0.2408312169938455,0.2482051062573157,0.2605259719623268
51,30,8,66,73,71,0.0638502844233477,0.09672157120976102,0.1828047634841845,0.18669873800614437,0.20028539472988882
52,54,80,6,68,72,0.013701532224282073,0.02769044681601304,0.0592155680308792,0.09608330017185711,0.2344585780982649
53,59,64,45,23,76,0.12703917524343422,0.1626978743590027,0.2197988113066185,0.2574705611862821,0.3007414476483975
54,52,80,6,68,72,0.013701532224282073,0.041391973593146635,0.07117453902048383,0.10957873635436334,0.24697934818770637
55,75,43,26,32,39,0.12346778452994837,0.25905070180947215,0.27061375239121876,0.276919592491408,0.2881038325973138
56,70,37,60,20,42,0.19552783872147617,0.26404582679745414,0.34171117538362855,0.3490746739221843,0.4305548751923287
57,12,11,13,74,28,0.10423536886761216,0.10686655817339319,0.14019451329889807,0.20404156277939778,0.20438487638079528
58,31,57,74,21,12,0.19117616913582075,0.251576606265771,0.2664691511802361,0.28709945151390553,0.29195252582474845
59,53,64,45,78,23,0.12703917524343422,0.13293546810624415,0.2388778271182786,0.2501054318083239,0.28906794212154246
60,37,49,2,39,33,0.10302089198151958,0.18323212390534946,0.21792419963604825,0.26097699237497896,0.28259216155176503
61,9,1,5,18,19,0.10206724773321911,0.10288647718699948,0.13260277647646604,0.14696331823732453,0.15711248514327475
62,28,43,3,13,24,0.1255848042578623,0.13043989422939728,0.15294641381116772,0.1654208461933142,0.18235912236719978
63,41,81,36,32,48,0.06589519187686592,0.06859413062309162,0.16280406824011445,0.22944188694081472,0.27803605628764483
64,59,53,11,78,57,0.13293546810624415,0.1626978743590027,0.24223534587991727,0.24848444070967796,0.2597896749600346
65,29,0,28,27,34,0.15024847074740594,0.15946867898597342,0.1768173407688674,0.19576578620753488,0.21675773410332436
66,22,30,10,51,73,0.13492711350810851,0.1511286906142826,0.15482743304149005,0.1828047634841845,0.19693533781610167
67,24,17,11,78,74,0.08861509727661837,0.12625140190433454,0.1800854627087513,0.18691994487365024,0.19644547081365402
68,6,80,52,54,72,0.05383417202728401,0.06906016397965478,0.09608330017185711,0.10957873635436334,0.15099741865542687
69,71,8,30,51,50,0.08244507345914642,0.15206961130459062,0.20064358174059382,0.23794868317615073,0.2482051062573157
70,56,20,37,60,39,0.19552783872147617,0.2407636150554417,0.3137012288700871,0.3517630981477865,0.382970886521865
71,69,8,30,51,50,0.08244507345914642,0.13617016468743315,0.17401923395783722,0.20028539472988882,0.26583448963706063
72,38,68,29,6,16,0.10210904011682634,0.15099741865542687,0.16241216405720915,0.1759795218642647,0.1867882169655842
73,10,79,51,7,40,0.10964461890243547,0.17316264151704877,0.18669873800614437,0.1944846345190275,0.19601311075604927
74,12,24,67,11,57,0.15602847424487715,0.1879277280962131,0.19644547081365402,0.2005251595294825,0.20404156277939778
75,55,26,43,5,32,0.12346778452994837,0.1538681941820516,0.16634978336173392,0.23108952270734495,0.23217878449454823
76,45,53,23,59,19,0.13953428742858923,0.3007414476483975,0.32083693319901624,0.3335185734338922,0.407188858432714
77,47,21,40,34,31,0.30419676392294337,0.33136709600535585,0.342497888555142,0.38361907300055204,0.3883499265964937
78,17,67,11,64,62,0.18379666753770096,0.18691994487365024,0.24222790863424398,0.24848444070967796,0.24903219670281823
79,40,7,73,10,3,0.08736064512545103,0.17264075259969566,0.17316264151704877,0.18317647350262098,0.19366547780024676
80,52,6,54,68,72,0.02769044681601304,0.038755856209145276,0.041391973593146635,0.06906016397965478,0.2096105281628127
81,41,63,36,48,32,0.013457994766999054,0.06859413062309162,0.17827686814375146,0.20944201465284717,0.2318895034252483
