player,team,ssce,prla,eppa,elpts,ppa,pts,fga,fg,f2,f2a,f3,f3a,f2p,f3p,fgp,efg,fga_cells,w_ssce,upper,lower,ci95,w_var,stdev,sterr,tstat,tval,ftr,wss,erange,nerange,perange,terange
L. Gonzales,FEU,0.014,0.549,0.913,37.451,0.927,38,41,17,13,32,4,9,40.6,44.4,41.5,46.3,35,0.016829268292683,0.400340479027066,-0.3666819424417,0.383511210734383,1.26035109983553,1.1226535974358,0.189763092891827,0.0886856766308943,2.021,TRUE,42.8618502439024,14,-7,40,2.385
V. Magbuhos,ADU,0.013,0.499,0.987,37.501,1,38,38,19,19,37,,1,51.4,0,50,50,24,0.0115263157894737,0.32832929144378,-0.305276659864832,0.316802975654306,0.574288132000482,0.757818007176183,0.154688952956204,0.0745128567308684,2.048,TRUE,13.2118155789474,10,-4,41.667,1.704
S. Akomo,UST,0.012,0.339,1.059,29.661,1.071,30,28,15,15,28,,,53.6,0,53.6,53.6,16,0.0127142857142857,0.444453953919834,-0.419025382491262,0.431739668205548,0.711056293877551,0.843241539463961,0.21081038486599,0.0603114771711461,2.048,TRUE,10.6684308571429,8,0,50,1.363
M. Nieto,ADMU,-0.006,-0.485,0.95,67.485,0.944,67,71,28,17,39,11,32,43.6,34.4,39.4,47.2,56,-0.00733802816901411,0.275985396083616,-0.290661452421644,0.28332342425263,1.11376384985663,1.05535010771622,0.141027090220323,-0.0520327559588025,2.009,TRUE,61.2600271549296,20,-16,35.714,3.407
M. Dyke,DLSU,-0.015,-0.745,0.935,46.745,0.92,46,50,22,20,45,2,5,44.4,40,44,46,39,-0.0164,0.278444889403764,-0.311244889403764,0.294844889403764,0.830078545263158,0.911086464208067,0.145890593470442,-0.112413004909207,2.021,TRUE,31.55347416,15,-9,38.462,2.555
A. Stockton,FEU,-0.021,-1.044,0.98,48.044,0.959,47,49,22,19,40,3,9,47.5,33.3,44.9,48,36,-0.0224897959183673,0.308612558490517,-0.353592150327251,0.331102354408884,0.966260912429345,0.982985713237657,0.163830952206276,-0.137274401543189,2.021,TRUE,33.8373404081633,15,-6,41.667,2.555
S. Belangel,ADMU,-0.021,-1.06,0.821,41.06,0.8,40,50,18,14,31,4,19,45.2,21.1,36,40,44,-0.0225,0.280793999147893,-0.325793999147893,0.303293999147893,0.996850912558139,0.99842421472946,0.150518113721039,-0.149483669730941,2.015,TRUE,42.88686424,16,-12,36.364,2.726
C. Conner,UE,-0.02,-1.63,0.958,77.63,0.938,76,81,33,23,54,10,27,42.6,37,40.7,46.9,57,-0.0169135802469136,0.209196078083731,-0.243023238577559,0.226109658330645,0.722026620043765,0.849721495575912,0.1125483615384,-0.150278333826681,2.009,TRUE,40.4497966666667,23,-11,40.351,3.918
W. Comboy,FEU,-0.017,-2.003,0.874,104.003,0.857,102,119,42,24,61,18,58,39.3,31,35.3,42.9,91,-0.0172100840336135,0.209225402818097,-0.243645570885324,0.22643548685171,1.18177456517823,1.08709455208746,0.113958473503629,-0.151020661338233,1.987,TRUE,106.386663882353,34,-23,37.363,5.792
T. Tio,ADMU,-0.033,-2.245,0.839,56.245,0.806,54,67,23,15,28,8,39,53.6,20.5,34.3,40.3,59,-0.0311641791044776,0.239967254197269,-0.302295612406225,0.271131433301747,1.07461247515382,1.03663516974576,0.134958403833622,-0.230916921208531,2.009,TRUE,62.3848247164179,20,-19,33.898,3.407
I. Gaye,NU,-0.041,-3.224,0.851,67.224,0.81,64,79,32,32,79,,,40.5,0,40.5,40.5,61,-0.0410759493670886,0.161786993170746,-0.243938891904923,0.202862942537834,0.627588945190407,0.792205115604795,0.101431471268917,-0.404962570819733,2,TRUE,37.7582579620253,24,-13,39.344,4.089
I. Go,ADMU,-0.045,-3.25,0.935,68.25,0.89,65,73,28,19,37,9,36,51.4,25,38.4,44.5,61,-0.0446301369863014,0.224547570799233,-0.313807844771836,0.269177707785534,1.10496373512229,1.05117255249663,0.134588853892767,-0.331603514670391,2,TRUE,66.4193269041096,20,-21,32.787,3.407
S. Camacho,ADU,-0.048,-3.629,0.955,71.629,0.907,68,75,34,34,73,,2,46.6,0,45.3,45.3,46,-0.0499466666666667,0.183972946188164,-0.283866279521497,0.23391961285483,0.619927645092346,0.787354840648323,0.116089137893216,-0.430244100120804,2.015,TRUE,28.0114988266667,19,-8,41.304,3.237
J. Varilla,UE,-0.038,-4.247,0.858,95.247,0.82,91,111,39,26,57,13,54,45.6,24.1,35.1,41,96,-0.0377657657657658,0.171494452921455,-0.247025984452987,0.209260218687221,1.06475294142734,1.03186866481512,0.105314654598501,-0.358599341276322,1.987,TRUE,101.28844972973,36,-24,37.5,6.133
J. Marcos,UST,-0.093,-4.424,0.926,44.424,0.833,40,48,18,14,36,4,12,38.9,33.3,37.5,41.7,40,-0.0940208333333333,0.215153683071038,-0.403195349737704,0.309174516404371,0.941710191862536,0.970417534807845,0.153436484567926,-0.612767123791281,2.015,TRUE,37.0802941666667,14,-12,35,2.385
J. Pingoy,ADU,-0.091,-4.547,0.871,43.547,0.78,39,50,14,3,15,11,35,20,31.4,28,39,43,-0.09242,0.246915071424242,-0.431755071424242,0.339335071424242,1.21948327987619,1.10430216873652,0.168404501947515,-0.548797680176055,2.015,TRUE,51.58558038,12,-19,27.907,2.044
D. Murrell,UP,-0.131,-4.71,1.02,36.71,0.889,32,36,16,16,34,,2,47.1,0,44.4,44.4,26,-0.132111111111111,0.158527754699795,-0.422749976922017,0.290638865810906,0.523625542716049,0.723619750087053,0.141913508696732,-0.930926959134186,2.048,TRUE,13.5444255555556,10,-6,38.462,1.704
R. Subido,UST,-0.024,-4.746,0.867,170.746,0.843,166,197,62,20,69,42,128,29,32.8,31.5,42.1,144,-0.02348730964467,0.148160891600732,-0.195135510890072,0.171648201245402,1.08220771316004,1.04029212876001,0.0866910107300011,-0.270931316256321,1.98,TRUE,154.835141116751,47,-50,32.639,8.007
A. Inigo,FEU,-0.091,-5.258,0.884,51.258,0.793,46,58,18,8,26,10,32,30.8,31.3,31,39.7,47,-0.0887413793103448,0.250453514736392,-0.427936273357082,0.339194894046737,1.33182256621905,1.15404617161492,0.168334935010788,-0.52717149476226,2.015,TRUE,61.6339645689655,15,-17,31.915,2.555
J. Nieto,ADMU,-0.148,-5.503,0.878,32.503,0.73,27,37,11,6,14,5,23,42.9,21.7,29.7,36.5,30,-0.14827027027027,0.223822633041755,-0.520363173582295,0.372092903312025,0.996122049318657,0.998059141192874,0.182219835118524,-0.813688971751231,2.042,TRUE,29.5470616216216,9,-12,30,1.533
E. Caunan,UST,-0.131,-5.756,0.858,37.756,0.727,32,44,16,16,44,,,36.4,0,36.4,36.4,39,-0.133772727272727,0.155875293625856,-0.423420748171311,0.289648020898583,0.801074875217486,0.895027862816285,0.143319159276884,-0.933390399076275,2.021,TRUE,31.1387558181818,14,-11,35.897,2.385
