player,team,ssce,prla,eppa,elpts,ppa,pts,fga,fg,f2,f2a,f3,f3a,f2p,f3p,fgp,efg
J. Go,DLSU,0.377,13.97,0.92,34.03,1.297,48,37,17,3,9,14,28,33.3,50,45.9,0.649
J. Nieto,ADMU,-0.148,-5.503,0.878,32.503,0.73,27,37,11,6,14,5,23,42.9,21.7,29.7,0.365
D. Murrell,UP,-0.131,-4.71,1.02,36.71,0.889,32,36,16,16,34,,2,47.1,0,44.4,0.444
E. Mojica,ADU,-0.378,-13.601,0.878,31.601,0.5,18,36,7,3,11,4,25,27.3,16,19.4,0.25
D. Dario,UP,0.357,12.502,0.9,31.498,1.257,44,35,17,7,15,10,20,46.7,50,48.6,0.629
J. Sinclair,NU,0.1,3.501,0.9,31.499,1,35,35,17,16,30,1,5,53.3,20,48.6,0.5
M. Aquino,NU,-0.21,-6.94,0.877,28.94,0.667,22,33,10,8,23,3,11,34.8,27.3,32.4,0.368
G. Mamuyac,ADMU,0.18,5.748,0.914,29.252,1.094,35,32,16,13,21,3,11,61.9,27.3,50,0.547
F. Jaboneta,UP,-0.279,-8.654,1.021,31.654,0.742,23,31,10,7,16,3,15,43.8,20,32.3,0.371
I. Batalier,UST,-0.234,-7.245,0.879,27.245,0.645,20,31,9,7,21,2,10,33.3,20,29,0.323
C. Vito,UP,0.056,1.703,0.977,29.297,1.033,31,30,14,11,15,3,15,73.3,20,46.7,0.517
R. Acuno,UE,-0.257,-7.214,0.9,25.214,0.643,18,28,9,9,28,,,32.1,0,32.1,0.321
S. Akomo,UST,0.012,0.339,1.059,29.661,1.071,30,28,15,15,28,,,53.6,0,53.6,0.536
J. Antiporda,UE,-0.398,-9.948,0.878,21.948,0.48,12,25,4,,7,4,18,0,22.2,16,0.24
N. Consejo,UST,-0.243,-5.818,0.951,22.818,0.708,17,24,8,7,20,1,4,35,25,33.3,0.354
T. Agustin,UST,-0.126,-3.031,0.918,22.031,0.792,19,24,9,8,19,1,5,42.1,20,37.5,0.396
A. Black,ADMU,-0.186,-4.28,0.925,21.28,0.739,17,23,8,7,16,1,7,43.8,14.3,34.8,0.37
B. Bates,DLSU,0.374,8.225,1.081,23.775,1.455,32,22,16,16,22,,,72.7,0,72.7,0.727
J. Colonia,ADU,-0.65,-14.298,1.014,22.298,0.364,8,22,4,4,19,,3,21.1,0,18.2,0.182
J. Galinato,NU,-0.167,-3.679,0.894,19.679,0.727,16,22,8,8,18,,4,44.4,0,36.4,0.364
J. Prado,UP,0.217,4.556,0.926,19.444,1.143,24,21,12,12,21,,,57.1,0,57.1,0.571
K. Bernardo,ADU,-0.044,-0.917,0.996,20.917,0.952,20,21,10,10,21,,,47.6,0,47.6,0.476
M. Bonleon,UST,-0.218,-3.923,0.829,14.923,0.611,11,18,5,4,8,1,10,50,10,27.8,0.306
J. Lim,UP,-0.622,-10.577,1.034,17.577,0.412,7,17,3,2,10,1,7,20,14.3,17.6,0.206
J. Strait,UE,0.303,5.15,0.932,15.85,1.235,21,17,9,6,13,3,5,46.2,60,50,0.583
K. Samuel,DLSU,-0.175,-2.988,0.999,16.988,0.824,14,17,7,7,11,,6,63.6,0,41.2,0.412
R. Morido,NU,-0.403,-6.849,0.991,16.849,0.588,10,17,5,5,10,,7,50,0,29.4,0.294
W. Gozum,UP,-0.295,-4.725,0.92,14.725,0.625,10,16,5,5,15,,1,33.3,0,31.3,0.313
A. Beltran,UE,-0.087,-1.3,1.02,15.3,0.933,14,15,7,7,13,,2,53.8,0,46.7,0.467
B. Andrade,ADMU,0.18,2.712,0.953,14.288,1.133,17,15,6,1,5,5,10,20,50,40,0.567
K. Zaldivar,ADU,0.002,0.041,0.931,13.959,0.933,14,15,7,7,13,,2,53.8,0,46.7,0.467
R. Gallardo,UE,0.159,2.387,0.841,12.613,1,15,15,7,6,12,1,3,50,33.3,46.7,0.5
R. Ramirez,FEU,0.089,1.337,0.911,13.663,1,15,15,6,3,10,3,5,30,60,40,0.5
J. Tibayan,NU,-0.011,-0.135,1.011,12.135,1,12,12,6,6,12,,,50,0,50,0.5
M. Corteza,DLSU,-0.567,-6.802,0.9,10.802,0.333,4,12,2,2,10,,2,20,0,16.7,0.167
M. Salim,NU,0.062,0.743,1.021,12.257,1.083,13,12,6,5,11,1,1,45.5,100,50,0.542
C. Lacap,UE,-0.353,-3.526,0.753,7.526,0.4,4,10,2,2,4,,6,50,0,20,0.2
F. Tungcab,UP,-0.269,-2.688,0.969,9.688,0.7,7,10,3,2,6,1,4,33.3,25,30,0.35
K. Bayquin,FEU,-0.311,-2.795,0.755,6.795,0.444,4,9,2,2,6,,3,33.3,0,22.2,0.222
M. Daves,ADMU,0.316,2.842,1.24,11.158,1.556,14,9,7,7,9,,,77.8,0,77.8,0.778
S. Gagate,UE,-0.285,-2.559,0.729,6.559,0.444,4,9,2,2,9,,,22.2,0,22.2,0.222
M. Malonzo,NU,-0.099,-0.687,0.67,4.687,0.571,4,7,2,2,7,,,28.6,0,28.6,0.286
J. Lagumen,UST,-0.523,-3.138,0.856,5.138,0.333,2,6,1,1,5,,1,20,0,16.7,0.167
G. Capacio,DLSU,-0.823,-4.115,0.823,4.115,0,0,5,0,,3,,2,0,0,0,0
J. Sobrevega,UE,0.071,0.355,0.929,4.645,1,5,5,2,1,3,1,2,33.3,50,40,0.5
J. Spencer,UP,-0.383,-1.914,0.783,3.914,0.4,2,5,1,1,2,,3,50,0,20,0.2
M. Macion,ADU,-0.517,-2.587,0.917,4.587,0.4,2,5,1,1,5,,,20,0,20,0.2
J. Nunag,FEU,1,3.998,1,4.002,2,8,4,3,1,2,2,2,50,100,75,1
D. Ando,UST,-0.129,-0.389,0.796,2.389,0.667,2,3,1,1,3,,,33.3,0,33.3,0.333
L. Guion,UE,-0.372,-1.118,1.039,3.118,0.667,2,3,1,1,3,,,33.3,0,33.3,0.333
D. Longa,UP,-0.979,-1.958,0.979,1.958,0,0,2,0,,,,2,0,0,0,0
W. Magbuhos,ADU,-0.786,-1.571,0.786,1.571,0,0,2,0,,2,,,0,0,0,0
C. Jopia,FEU,1.05,1.05,0.95,0.95,2,2,1,1,1,1,,,100,0,100,1
I. Maata,ADU,-0.662,-0.662,0.662,0.662,0,0,1,0,,1,,,0,0,0,0
