player,team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
J. Baltazar,DLSU,0.13854906764363872,0.27709813528727745,1.0900571845075462,186,0.9780285240080063,0.14266819568863265
A. Caracut,DLSU,0.04771210658856934,0.09542421317713869,1.676110139869749,183,1.024580911177357,0.150659574515664
K. Montalbo,DLSU,0.017031591197681734,0.03406318239536347,2.140305070189048,140,1.0551725417155335,0.18626366288787297
L. Santillian,DLSU,0.10307499405746091,0.20614998811492183,1.2688020668911133,180,0.9846673311309916,0.1460120658833337
A. Melecio,DLSU,0.20404865734441624,0.4080973146888325,0.8287441913355428,233,1.0447552153137583,0.1393679244901088
J. Go,DLSU,0.21155583219780788,0.42311166439561576,-0.803672751017247,125,1.1558887361257195,0.23165248285093715
F. Serrano,DLSU,0.0470577661487024,0.0941155322974048,1.6846126804152588,152,1.061025132341952,0.174815380466062
M. Dyke,DLSU,0.14970801130876893,0.29941602261753786,1.0418475492465729,130,1.0562262743933195,0.20149772841691507
M. Nieto,ADMU,0.13892234111356563,0.27784468222713127,1.0892077315495785,147,1.0902906046347522,0.18441655974398993
T. Ravena,ADMU,0.04267569686553221,0.08535139373106441,1.730068142523282,178,1.00513438210911,0.14991989897596136
A. Asistio,ADMU,0.49885989776142053,0.9977197955228411,0.0028622300205059215,162,1.1249445930772706,0.1772892521448813
A. Kouame,ADMU,0.4079244745677452,0.8158489491354904,0.23331997763234305,142,0.954080610717245,0.16624161668920662
I. Go,ADMU,0.09290187497033642,0.18580374994067284,1.3291084958910981,152,1.0875632224235474,0.17918781818977236
T. Tio,ADMU,0.10717613155293804,0.21435226310587607,1.2469694419099628,150,1.0826336757874744,0.18019214110831122
R. Verano,ADMU,0.17213403762174007,0.34426807524348013,0.9483619813487302,173,1.0776723479089025,0.1632515687484634
A. Wong,ADMU,0.001374955037581244,0.002749910075162488,3.0514698633197446,133,1.0467685495181156,0.19460385108450814
J. Mendoza,ADMU,0.25922026415263777,0.5184405283052755,0.6473887406533212,140,1.1289897788850152,0.19929420380499743
W. Navarro,ADMU,0.008616324817653533,0.017232649635307067,2.4096035165025564,144,1.015937973849857,0.17484942665145148
P. Sarr,ADU,0.008558573103445486,0.017117146206890973,2.4085629849620713,165,0.9382180001478234,0.14615196617136456
J. Ahanmisi,ADU,0.35658168244748734,0.7131633648949747,-0.36805711654447265,234,1.0947642560325943,0.1458367971282252
V. Magbuhos,ADU,0.22519152751361904,0.4503830550272381,0.7573603106206334,115,1.0496187915431343,0.24031309297326986
S. Manganti,ADU,0.10659278686659958,0.21318557373319916,1.2486803908618833,208,0.9969218481375349,0.13849572119470333
C. Catapusan,ADU,0.00843135845196513,0.01686271690393026,2.4216560102764086,127,1.0596222715313979,0.20799515005027375
J. Espeleta,ADU,0.03964645971562607,0.07929291943125213,1.7662035074466442,158,1.0638440178348818,0.17047436111436345
J. Lastimosa,ADU,0.4500622294150855,0.900124458830171,0.125704734773327,159,1.0937421908955227,0.17451468297419098
J. Pingoy,ADU,0.08212082447164076,0.16424164894328153,1.3986049496496669,134,1.1086670953313575,0.2044536697811211
E. Mojica,ADU,0.005427979401180363,0.010855958802360725,2.5866368005350044,123,1.0785339024584581,0.22104074937535836
S. Camacho,ADU,0.09292483870052162,0.18584967740104325,1.3296305769432604,137,1.0158724698058699,0.18311596124415172
