player,team,tlow,plow,tupp,pupp,dof
A. Inigo,FEU,0.3247897545359792,0.373760956698166,0.3247897545359792,0.626239043301834,31.0
K. Tuffin,FEU,1.307915378577436,0.09909405498411603,1.307915378577436,0.900905945015884,41.0
H. Cani,FEU,-0.48478385491412934,0.684795126891919,-0.48478385491412934,0.31520487310808104,41.0
B. Ebona,FEU,,,,,-1.0
J. Parker,FEU,-0.7521272603774017,0.7706350305568075,-0.7521272603774017,0.22936496944319257,26.0
A. Stockton,FEU,0.1605865010520579,0.4382000309074384,0.1605865010520579,0.5617999690925615,8.0
A. Tolentino,FEU,2.2255404112710444,0.01497337748171918,2.2255404112710444,0.9850266225182809,58.0
W. Comboy,FEU,0.45934283203370724,0.32386753414950753,0.45934283203370724,0.6761324658504924,57.0
P. Orizu,FEU,,,,,-1.0
J. Baltazar,DLSU,-2.4726309750267275,0.9884853590182998,-2.4726309750267275,0.011514640981700243,19.0
A. Caracut,DLSU,-0.2194883645171947,0.5863335511819063,-0.2194883645171947,0.4136664488180936,42.0
K. Montalbo,DLSU,-1.9333253063374498,0.9672010593725392,-1.9333253063374498,0.032798940627460804,23.0
L. Santillian,DLSU,-0.17767434051996966,0.5697650870857075,-0.17767434051996966,0.43023491291429244,24.0
A. Melecio,DLSU,1.442994609642692,0.07622773279979837,1.442994609642692,0.9237722672002016,91.0
J. Go,DLSU,2.212280832272694,0.01779656433376301,2.212280832272694,0.982203435666237,27.0
F. Serrano,DLSU,-0.18397195136846084,0.5722949020319826,-0.18397195136846084,0.42770509796801737,27.0
M. Dyke,DLSU,0.528163220286639,0.31266503833672665,0.528163220286639,0.6873349616632733,4.0
M. Nieto,ADMU,0.6646956769636893,0.25557995126777877,0.6646956769636893,0.7444200487322212,31.0
T. Ravena,ADMU,-0.1663534641915114,0.5656960727193688,-0.1663534641915114,0.43430392728063116,46.0
A. Asistio,ADMU,2.8866682671970745,0.002689093616219079,2.8866682671970745,0.997310906383781,61.0
A. Kouame,ADMU,-2.0576220317012845,0.9666739135087464,-2.0576220317012845,0.03332608649125363,10.0
I. Go,ADMU,-0.6636482110526761,0.7443682073542104,-0.6636482110526761,0.2556317926457896,35.0
T. Tio,ADMU,-1.3837744932511729,0.9127488050296787,-1.3837744932511729,0.0872511949703213,38.0
R. Verano,ADMU,0.33868313227304114,0.36889685812064915,0.33868313227304114,0.6311031418793509,24.0
A. Wong,ADMU,-2.96433210319709,0.9971060565972755,-2.96433210319709,0.002893943402724522,31.0
J. Mendoza,ADMU,0.8529052917746275,0.19945986952671418,0.8529052917746275,0.8005401304732858,39.0
W. Navarro,ADMU,-6.1910422942391055,0.9999987141110032,-6.1910422942391055,1.2858889967743702e-06,23.0
P. Sarr,ADU,-8.992234547235203,0.964746542657817,-8.992234547235203,0.035253457342183055,1.0
J. Ahanmisi,ADU,3.010388882586986,0.0016793147959421914,3.010388882586986,0.9983206852040578,93.0
V. Magbuhos,ADU,[nan],[nan],[nan],[nan],0.0
S. Manganti,ADU,-1.6014340061703278,0.9429349403778683,-1.6014340061703278,0.05706505962213178,65.0
C. Catapusan,ADU,-0.844026558478804,0.7814190451412909,-0.844026558478804,0.2185809548587091,5.0
J. Espeleta,ADU,-1.192289076383342,0.8778286914110488,-1.192289076383342,0.12217130858895117,25.0
J. Lastimosa,ADU,0.3553748508413572,0.36213694409689157,0.3553748508413572,0.6378630559031084,38.0
J. Pingoy,ADU,0.03259176229185845,0.48709264806998726,0.03259176229185845,0.5129073519300127,35.0
E. Mojica,ADU,-1.9131359597833821,0.9661331675648241,-1.9131359597833821,0.033866832435175784,24.0
S. Camacho,ADU,-4.242440299631033,0.9263151093482742,-4.242440299631033,0.07368489065172582,1.0
G. Mahinay,UST,,,,,-1.0
L. Gonzales,FEU,0.7294916758347735,0.24212636364238638,0.7294916758347735,0.7578736363576136,9.0
D. Murrell,UP,-4.592336069313427,0.9317521068078748,-4.592336069313427,0.06824789319212514,1.0
B. Akhuetie,UP,-14.066407823269277,0.9974920066729053,-14.066407823269277,0.0025079933270946656,2.0
Ju. Gomez de Liaño,UP,0.5731390859230403,0.28415593925086735,0.5731390859230403,0.7158440607491325,73.0
P. Desiderio,UP,0.4499519981570184,0.32700462709251876,0.4499519981570184,0.6729953729074813,77.0
J. Manzo,UP,-1.248967715182075,0.8872897025674646,-1.248967715182075,0.11271029743253538,21.0
C. Vito,UP,-1.1120607416051773,0.8575778668189613,-1.1120607416051773,0.14242213318103863,14.0
D. Dario,UP,1.9358015221799478,0.03395718862467497,1.9358015221799478,0.966042811375325,19.0
Ja. Gomez de Liaño,UP,1.1335091676669211,0.1331422943981599,1.1335091676669211,0.8668577056018401,29.0
F. Jaboneta,UP,-1.0251812791605757,0.8386669263224992,-1.0251812791605757,0.16133307367750083,14.0
S. Belangel,ADMU,-0.8409643028650713,0.7942995676703923,-0.8409643028650713,0.2057004323296076,18.0
J. Nieto,ADMU,-0.8696712400564757,0.8030650287401784,-0.8696712400564757,0.19693497125982162,22.0
G. Mamuyac,ADMU,-0.076314087766213,0.5296627824483042,-0.076314087766213,0.47033721755169583,10.0
B. Bienes,FEU,1.7025008635962724,0.048641348896964455,1.7025008635962724,0.9513586511030355,36.0
J. Manuel,DLSU,-0.05135898204679923,0.5201974345563822,-0.05135898204679923,0.47980256544361777,18.0
J. Cullar,UE,-0.21667684540008886,0.5837868432111539,-0.21667684540008886,0.4162131567888461,11.0
M. Maloles,UE,-1.3506023504110087,0.9052894093881027,-1.3506023504110087,0.09471059061189728,24.0
C. Conner,UE,0.919117220627993,0.1832415693815469,0.919117220627993,0.8167584306184531,26.0
A. Pasaol,UE,-1.7153512836245435,0.9552631890631276,-1.7153512836245435,0.044736810936872394,97.0
J. Varilla,UE,-0.6839255192381833,0.7515531141125591,-0.6839255192381833,0.2484468858874409,55.0
P. Manalang,UE,-0.40344592506909355,0.6559481293865894,-0.40344592506909355,0.34405187061341064,58.0
R. Acuno,UE,,,,,-1.0
W. Bartolome,UE,-20.836650904663486,0.9847352705259463,-20.836650904663486,0.01526472947405372,1.0
