player,team,fga,fga_cells,w_ssce,upper,lower,ci95,w_var,stdev,sterr,tstat,tval,ftr,wss,erange,nerange,perange,terange
A. Stockton,FEU,29.0,16,-0.20855172413793105,0.1698635251919518,-0.5869669734678139,0.37841524932988285,0.5462574040428062,0.7390922838474274,0.18477307096185686,-1.128691118528754,2.048,True,8.88976220689655,6,-4,37.5,12.5
A. Tolentino,FEU,29.0,19,0.24310344827586203,0.6515256328853594,-0.16531873633363528,0.4084221846094973,0.7556354848725063,0.869272963385211,0.19942489482885611,1.219022572304678,2.048,True,14.724325172413794,11,3,57.895,22.917
W. Comboy,FEU,25.0,15,-0.50412,-0.12294483153494695,-0.8852951684650531,0.38117516846505306,0.519613656,0.7208423239516392,0.18612068772707668,-2.708565104483337,2.048,True,11.0866458,3,-9,20.0,6.25
P. Orizu,FEU,44.0,21,0.5360681818181818,0.7868954069774222,0.28524095665894145,0.2508272251592404,0.3149986826188015,0.5612474343984135,0.12247423103478534,4.376987528633079,2.048,False,12.334724659090906,16,11,76.19,33.333
J. Baltazar,DLSU,73.0,28,0.07315068493150687,0.33290099564401743,-0.18659962578100373,0.2597503107125106,0.4504123376910406,0.6711276612471286,0.12683120640259307,0.5767562022496957,2.048,True,12.310961753424657,13,-2,46.429,27.083
A. Caracut,DLSU,33.0,15,-0.157,0.14389006729682421,-0.45789006729682424,0.3008900672968242,0.3237777922077921,0.5690147557030416,0.14691897817227745,-1.0686161988950231,2.048,True,4.90262409090909,5,-5,33.333,10.417
K. Montalbo,DLSU,18.0,12,-0.2233333333333333,0.21509408062927396,-0.6617607472959406,0.43842741396260726,0.5499418181818182,0.741580621498309,0.21407588572392933,-1.0432437664714012,2.048,True,6.647893333333333,5,-2,41.667,10.417
L. Santillian,DLSU,68.0,26,-0.052647058823529415,0.17622727542988714,-0.28152139307694596,0.22887433425341655,0.3247189480968858,0.5698411604095354,0.11175504602217605,-0.4710933483315145,2.048,True,8.190038235294116,15,4,57.692,31.25
A. Melecio,DLSU,46.0,21,-0.03365217391304346,0.2527093644728002,-0.32001371229888714,0.28636153838584366,0.41057146644612474,0.6407585086802396,0.1398249699149627,-0.24067356448215,2.048,True,8.235211173913044,9,-3,42.857,18.75
J. Go,DLSU,4.0,4,-0.489,0.4758884178390784,-1.4538884178390785,0.9648884178390784,0.88788,0.942273845545975,0.4711369227729875,-1.037914831896161,2.048,True,3.620124,1,-2,25.0,2.083
F. Serrano,DLSU,35.0,18,-0.28977142857142857,0.0583457680415318,-0.6378886251843889,0.34811719661296037,0.5200720993037216,0.7211602452324459,0.16997909990867205,-1.7047473996927838,2.048,True,10.352640342857145,8,-2,44.444,16.667
M. Dyke,DLSU,28.0,17,-0.02264285714285716,0.3609092037717425,-0.4061949180574568,0.38355206091459965,0.596262721619898,0.7721804980831217,0.18728127974345685,-0.12090293901170464,2.048,True,9.548919428571429,8,-1,47.059,16.667
M. Nieto,ADMU,26.0,13,0.002884615384615383,0.34614832257030653,-0.3403790918010758,0.34326370718569116,0.365207110576923,0.604323680304622,0.16760923202426325,0.017210360967454368,2.048,True,4.3825935,7,1,53.846,14.583
T. Ravena,ADMU,62.0,24,-0.04693548387096774,0.20061610004006938,-0.29448706778200484,0.24755158391103713,0.35065719621770797,0.5921631499998189,0.12087479683156109,-0.38829834755687154,2.048,True,8.117986064516128,11,-2,45.833,22.917
A. Asistio,ADMU,11.0,9,-0.408,0.17848972719950135,-0.9944897271995012,0.5864897271995013,0.7380799772727272,0.8591158113273945,0.2863719371091315,-1.4247206067699227,2.048,True,7.402815818181818,2,-5,22.222,4.167
A. Kouame,ADMU,104.0,26,0.22939423076923077,0.38813402264995495,0.07065443888850659,0.15873979188072418,0.1562014483653846,0.3952232892497412,0.07750966400425985,2.9595565110000157,2.048,False,5.27320075,20,14,76.923,41.667
I. Go,ADMU,25.0,15,0.23927999999999996,0.6379283278956821,-0.15936832789568214,0.3986483278956821,0.5683439588571428,0.7538859057292043,0.19465250385531352,1.2292675165270843,2.048,True,8.8156392,9,3,60.0,18.75
T. Tio,ADMU,6.0,4,0.9583333333333334,1.0156881682885535,0.9009784983781133,0.057354834955220035,0.003137185185184984,0.056010581010957065,0.028005290505478533,34.219724774712105,2.048,False,3.6830226666666666,4,4,100.0,8.333
R. Verano,ADMU,32.0,19,-0.006156250000000002,0.37433587069283814,-0.3866483706928381,0.3804921206928381,0.6558205662434896,0.8098274916570131,0.18578716830704986,-0.03313603439945641,2.048,True,11.80549028125,9,-1,47.368,18.75
A. Wong,ADMU,7.0,5,-0.25685714285714284,0.2832395009173669,-0.7969537866316525,0.5400966437745097,0.3477387244897959,0.589693754833639,0.26371906434302234,-0.9739801841669129,2.048,True,1.7208328571428573,1,-3,20.0,2.083
J. Mendoza,ADMU,6.0,6,0.1703333333333333,0.9156308328120613,-0.5749641661453946,0.7452974994787279,0.7946038666666666,0.8914055567847143,0.3639147946673476,0.46805828130464994,2.048,True,4.1471,4,2,66.667,8.333
W. Navarro,ADMU,23.0,13,0.161,0.5580211252589881,-0.23602112525898802,0.39702112525898803,0.48855186956521734,0.6989648557439905,0.19385797131786525,0.8305049253611106,2.048,True,6.1995954347826085,9,5,69.231,18.75
P. Sarr,ADU,82.0,27,-0.25459756097560976,-0.039261224532130934,-0.4699338974190886,0.21533633644347883,0.2984959889431657,0.5463478644079848,0.10514469552904239,-2.421401856694582,2.048,True,9.5110335,10,-7,37.037,20.833
J. Ahanmisi,ADU,30.0,20,0.10106666666666672,0.47757330140748866,-0.27543996807415516,0.3765066347408219,0.6759512233918128,0.8221625285743767,0.18384113024454193,0.5497500289093621,2.048,True,13.047362666666666,11,2,55.0,22.917
V. Magbuhos,ADU,27.0,14,0.24503703703703705,0.630933291328809,-0.14085921725473494,0.385896254291772,0.49706050564524634,0.7050251808589862,0.1884259054159043,1.300442401994447,2.048,True,7.302390666666667,9,4,64.286,18.75
S. Manganti,ADU,54.0,23,0.18038888888888888,0.453596040360657,-0.09281826258287923,0.2732071514717681,0.40930971983726144,0.639773178429091,0.13340192942957427,1.3522209885586403,2.048,True,9.753237314814813,13,3,56.522,27.083
C. Catapusan,ADU,25.0,18,-0.30467999999999995,0.11706288915676022,-0.7264228891567601,0.42174288915676017,0.7633226304000001,0.8736833696482955,0.2059291450960743,-1.4795380219631096,2.048,True,14.64742296,6,-6,33.333,12.5
J. Espeleta,ADU,18.0,11,-0.4791666666666667,-0.07784904600237985,-0.8804842873309535,0.40131762066428683,0.4223857305555555,0.649912094483212,0.1959558694649838,-2.4452784597620387,2.048,True,6.749464944444444,2,-7,18.182,4.167
J. Lastimosa,ADU,27.0,19,0.22074074074074077,0.6306530805592833,-0.1891715990778017,0.40991233981854247,0.7611595154702028,0.8724445629781887,0.2001525096770227,1.1028627175194574,2.048,True,14.626674296296297,13,7,68.421,27.083
J. Pingoy,ADU,3.0,3,-1.0513333333333332,-0.7421817957656789,-1.3604848709009876,0.30915153756765434,0.06836033333333358,0.26145809096934364,0.1509528992029562,-6.9646448586576355,2.048,True,3.452626,0,-3,0.0,0.0
E. Mojica,ADU,4.0,4,-0.04525000000000001,1.2400258003831965,-1.3305258003831966,1.2852758003831966,1.5754069166666664,1.2551521488117154,0.6275760744058577,-0.07210281246435238,2.048,True,4.734411,2,0,50.0,4.167
S. Camacho,ADU,49.0,24,0.06406122448979593,0.40209293613094765,-0.27397048715135575,0.3380317116411517,0.6538320812704852,0.8085988382816817,0.1650545466997811,0.38812153782299225,2.048,True,15.136630040816328,15,6,62.5,31.25
G. Mahinay,UST,33.0,17,-0.3359393939393939,-0.007442909600429204,-0.6644358782783586,0.3284964843389647,0.4373714885215795,0.6613406750847701,0.1603986739936351,-2.094402563157876,2.048,True,8.916483515151516,5,-7,29.412,10.417
L. Gonzales,FEU,15.0,11,-0.3254,0.26884085141191927,-0.9196408514119193,0.5942408514119193,0.9260997973333334,0.9623407906419291,0.2901566657284762,-1.1214631212522408,2.048,True,10.425734733333334,4,-3,36.364,8.333
D. Murrell,UP,25.0,15,0.059519999999999997,0.4237672354464791,-0.30472723544647906,0.3642472354464791,0.4744865245714286,0.6888298226495632,0.1778550954328511,0.3346544548253984,2.048,True,6.6959508,9,3,60.0,18.75
B. Akhuetie,UP,147.0,27,0.12670068027210885,0.32090477591597166,-0.06750341537175394,0.1942040956438628,0.24278431669496683,0.49273148539033595,0.09482621857610488,1.3361355348196493,2.048,True,6.745824918367346,15,3,55.556,31.25
Ju. Gomez de Liaño,UP,56.0,26,0.20773214285714284,0.45061720280196194,-0.03515291708767629,0.24288505994481913,0.36569165252551017,0.604724443466204,0.11859622067618121,1.7515915909693371,2.048,True,10.264260035714285,16,6,61.538,33.333
P. Desiderio,UP,59.0,21,0.21567796610169493,0.5437349960097748,-0.11237906380638496,0.3280570299080799,0.5388378411088768,0.7340557479571131,0.16018409663480462,1.3464380711488975,2.048,True,11.753613508474578,11,1,52.381,22.917
