y,x,fga,fg,pts,ssce,prla
42.5,2.5,0.0,0.0,0.0,-0.688,0.0
42.5,7.5,0.0,0.0,0.0,-0.667,0.0
42.5,12.5,0.0,0.0,0.0,-0.744,0.0
42.5,17.5,0.0,0.0,0.0,-0.539,0.0
42.5,22.5,0.0,0.0,0.0,-0.787,0.0
42.5,27.5,1.0,1.0,2.0,1.347,1.347
42.5,32.5,0.0,0.0,0.0,-0.706,0.0
42.5,37.5,0.0,0.0,0.0,-0.759,0.0
42.5,42.5,1.0,1.0,2.0,1.108,1.108
42.5,47.5,0.0,0.0,0.0,-0.999,0.0
42.5,52.5,0.0,0.0,0.0,-0.84,0.0
42.5,57.5,0.0,0.0,0.0,-0.964,0.0
42.5,62.5,3.0,0.0,0.0,-0.868,-2.604
42.5,67.5,1.0,0.0,0.0,-0.661,-0.661
42.5,72.5,0.0,0.0,0.0,-0.941,0.0
47.5,-72.5,0.0,0.0,0.0,-0.674,0.0
47.5,-67.5,0.0,0.0,0.0,-1.034,0.0
47.5,-62.5,0.0,0.0,0.0,-0.829,0.0
47.5,-57.5,0.0,0.0,0.0,-0.758,0.0
47.5,-52.5,0.0,0.0,0.0,-0.765,0.0
47.5,-47.5,0.0,0.0,0.0,-0.758,0.0
47.5,-42.5,0.0,0.0,0.0,-0.836,0.0
47.5,-37.5,0.0,0.0,0.0,-0.774,0.0
47.5,-32.5,0.0,0.0,0.0,-0.663,0.0
47.5,-27.5,0.0,0.0,0.0,-0.603,0.0
47.5,-22.5,0.0,0.0,0.0,-0.616,0.0
47.5,-17.5,0.0,0.0,0.0,-0.695,0.0
47.5,-12.5,0.0,0.0,0.0,-0.758,0.0
47.5,-7.5,2.0,2.0,4.0,1.225,2.449
47.5,-2.5,1.0,1.0,2.0,1.053,1.053
47.5,2.5,0.0,0.0,0.0,-0.733,0.0
47.5,7.5,1.0,0.0,0.0,-0.783,-0.783
47.5,12.5,0.0,0.0,0.0,-0.559,0.0
47.5,17.5,0.0,0.0,0.0,-0.542,0.0
47.5,22.5,0.0,0.0,0.0,-0.537,0.0
47.5,27.5,1.0,0.0,0.0,-0.704,-0.704
47.5,32.5,0.0,0.0,0.0,-0.676,0.0
47.5,37.5,0.0,0.0,0.0,-0.788,0.0
47.5,42.5,0.0,0.0,0.0,-0.908,0.0
47.5,47.5,1.0,0.0,0.0,-0.811,-0.811
47.5,52.5,0.0,0.0,0.0,-1.235,0.0
47.5,57.5,0.0,0.0,0.0,-1.193,0.0
47.5,62.5,0.0,0.0,0.0,-0.903,0.0
47.5,67.5,0.0,0.0,0.0,-0.689,0.0
47.5,72.5,0.0,0.0,0.0,-0.682,0.0
52.5,-72.5,0.0,0.0,0.0,-0.697,0.0
52.5,-67.5,0.0,0.0,0.0,-0.931,0.0
52.5,-62.5,0.0,0.0,0.0,-0.774,0.0
52.5,-57.5,2.0,1.0,3.0,0.772,1.543
52.5,-52.5,1.0,1.0,3.0,1.991,1.991
52.5,-47.5,1.0,0.0,0.0,-0.81,-0.81
52.5,-42.5,0.0,0.0,0.0,-0.903,0.0
52.5,-37.5,0.0,0.0,0.0,-0.864,0.0
52.5,-32.5,0.0,0.0,0.0,-0.846,0.0
52.5,-27.5,0.0,0.0,0.0,-0.771,0.0
52.5,-22.5,0.0,0.0,0.0,-0.706,0.0
52.5,-17.5,1.0,0.0,0.0,-0.709,-0.709
52.5,-12.5,0.0,0.0,0.0,-0.746,0.0
52.5,-7.5,1.0,0.0,0.0,-0.744,-0.744
52.5,-2.5,2.0,0.0,0.0,-0.878,-1.755
52.5,2.5,0.0,0.0,0.0,-0.637,0.0
52.5,7.5,1.0,1.0,2.0,1.155,1.155
52.5,12.5,0.0,0.0,0.0,-0.722,0.0
52.5,17.5,0.0,0.0,0.0,-0.735,0.0
52.5,22.5,0.0,0.0,0.0,-0.688,0.0
52.5,27.5,1.0,1.0,2.0,1.205,1.205
52.5,32.5,0.0,0.0,0.0,-0.84,0.0
52.5,37.5,0.0,0.0,0.0,-0.836,0.0
52.5,42.5,0.0,0.0,0.0,-0.839,0.0
52.5,47.5,0.0,0.0,0.0,-1.082,0.0
52.5,52.5,0.0,0.0,0.0,-0.872,0.0
52.5,57.5,3.0,2.0,6.0,1.173,3.52
52.5,62.5,1.0,1.0,3.0,2.151,2.151
52.5,67.5,0.0,0.0,0.0,-0.883,0.0
52.5,72.5,0.0,0.0,0.0,-0.809,0.0
57.5,-72.5,0.0,0.0,0.0,-0.566,0.0
57.5,-67.5,0.0,0.0,0.0,-0.612,0.0
57.5,-62.5,0.0,0.0,0.0,-0.786,0.0
57.5,-57.5,0.0,0.0,0.0,-0.616,0.0
57.5,-52.5,2.0,1.0,3.0,0.556,1.112
57.5,-47.5,3.0,3.0,9.0,1.994,5.983
57.5,-42.5,2.0,0.0,0.0,-0.994,-1.988
57.5,-37.5,0.0,0.0,0.0,-0.721,0.0
57.5,-32.5,0.0,0.0,0.0,-0.785,0.0
57.5,-27.5,0.0,0.0,0.0,-0.718,0.0
57.5,-22.5,0.0,0.0,0.0,-0.86,0.0
57.5,-17.5,0.0,0.0,0.0,-0.78,0.0
57.5,-12.5,0.0,0.0,0.0,-0.77,0.0
57.5,-7.5,0.0,0.0,0.0,-0.778,0.0
57.5,-2.5,0.0,0.0,0.0,-0.787,0.0
57.5,2.5,0.0,0.0,0.0,-0.908,0.0
57.5,7.5,0.0,0.0,0.0,-0.915,0.0
57.5,12.5,0.0,0.0,0.0,-0.77,0.0
57.5,17.5,0.0,0.0,0.0,-0.841,0.0
57.5,22.5,0.0,0.0,0.0,-0.72,0.0
57.5,27.5,0.0,0.0,0.0,-0.766,0.0
57.5,32.5,0.0,0.0,0.0,-0.791,0.0
57.5,37.5,0.0,0.0,0.0,-0.84,0.0
57.5,42.5,0.0,0.0,0.0,-0.786,0.0
57.5,47.5,2.0,0.0,0.0,-0.894,-1.788
57.5,52.5,1.0,1.0,3.0,1.799,1.799
57.5,57.5,0.0,0.0,0.0,-0.831,0.0
57.5,62.5,1.0,1.0,3.0,2.0,2.0
57.5,67.5,0.0,0.0,0.0,-0.82,0.0
57.5,72.5,0.0,0.0,0.0,-0.814,0.0
62.5,-72.5,0.0,0.0,0.0,-0.621,0.0
62.5,-67.5,0.0,0.0,0.0,-0.702,0.0
62.5,-62.5,1.0,1.0,3.0,2.306,2.306
62.5,-57.5,0.0,0.0,0.0,-0.762,0.0
62.5,-52.5,1.0,0.0,0.0,-0.692,-0.692
62.5,-47.5,1.0,1.0,3.0,1.918,1.918
62.5,-42.5,2.0,0.0,0.0,-0.864,-1.729
62.5,-37.5,2.0,0.0,0.0,-0.976,-1.952
62.5,-32.5,1.0,0.0,0.0,-0.994,-0.994
62.5,-27.5,0.0,0.0,0.0,-0.897,0.0
62.5,-22.5,0.0,0.0,0.0,-1.08,0.0
62.5,-17.5,0.0,0.0,0.0,-0.762,0.0
62.5,-12.5,0.0,0.0,0.0,-0.717,0.0
62.5,-7.5,0.0,0.0,0.0,-0.745,0.0
62.5,-2.5,0.0,0.0,0.0,-0.739,0.0
62.5,2.5,0.0,0.0,0.0,-0.869,0.0
62.5,7.5,0.0,0.0,0.0,-1.055,0.0
62.5,12.5,0.0,0.0,0.0,-0.822,0.0
62.5,17.5,0.0,0.0,0.0,-0.674,0.0
