player,team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
D. Murrell,UP,0.437595603313058,0.875191206626116,0.15829226656714393,33,0.7684278438246386,0.2624680760954521
B. Akhuetie,UP,0.4473241638696518,0.8946483277393036,-0.13317553907073443,45,0.6524392773535597,0.19248289726709464
Ju. Gomez de Liaño,UP,0.30722207972512877,0.6144441594502575,-0.5073482130282143,44,0.7068715415891957,0.210241158737548
P. Desiderio,UP,0.3200044514599004,0.6400089029198008,-0.4713614622882334,39,0.778226617621707,0.24314949058127372
J. Manzo,UP,0.08209541433002342,0.16419082866004683,1.4158571154985347,42,0.6782751278522039,0.20535799310172467
C. Vito,UP,0.19860330588338404,0.3972066117667681,-0.8613966374073461,25,0.8097915120435492,0.35562401805438115
D. Dario,UP,0.11445682202916532,0.22891364405833065,1.2333570870853852,25,0.8990218353314772,0.39480996360704074
Ja. Gomez de Liaño,UP,0.3815032550257074,0.7630065100514148,0.30341128678773,44,0.7646416840491846,0.22742343440805426
F. Jaboneta,UP,0.1558592393415518,0.3117184786831036,1.0325109349529003,25,0.8190292106416514,0.3596807998854752
S. Belangel,ADMU,0.46053195458829727,0.9210639091765945,0.10006043769714461,26,0.8312318585084553,0.34772923439782655
J. Nieto,ADMU,0.25136491654453547,0.5027298330890709,0.6809048793783902,23,0.8578780252927528,0.4289390126463764
G. Mamuyac,ADMU,0.12476839736624955,0.2495367947324991,-1.1788999357816867,25,0.7916297436934085,0.3476481860783817
B. Bienes,FEU,0.45195020528990304,0.9039004105798061,0.12196682826033343,25,0.8920623447498692,0.39175366829221664
J. Manuel,DLSU,0.13569933924946154,0.2713986784989231,1.1228219113553202,27,0.9163077773091318,0.36779355879169534
J. Cullar,UE,0.2829495307463987,0.5658990614927975,0.5803118946798985,31,0.7755013335918157,0.2762821614225948
M. Maloles,UE,0.4875173045230665,0.975034609046133,0.031652468672301495,22,0.8113775391956022,0.44440978087046334
C. Conner,UE,0.12455638762430099,0.24911277524860198,1.1709306926057506,37,0.7428870242819893,0.23799250376858627
A. Pasaol,UE,0.38972053281430913,0.7794410656286183,0.28156247046991223,50,0.6031480481968654,0.1719236455626441
J. Varilla,UE,0.49461260926288364,0.9892252185257673,0.01360729575483666,33,0.7843781160234756,0.26791613122629
P. Manalang,UE,0.021950270628437716,0.04390054125687543,2.0825304012443566,39,0.7044976207012903,0.22011356809245705
R. Acuno,UE,0.05235252286343575,0.1047050457268715,1.6749052192537253,29,0.8019574056588336,0.3010376456013317
W. Bartolome,UE,0.4643591110026119,0.9287182220052238,0.09016485477649455,32,0.7462263914095337,0.2600345452739145
