player,team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
L. Santillian,UE,1.2448943348832165e-47,2.489788669766433e-47,26.015574554858038,104,1.0066756591564752,0.19611329318295892
A. Melecio,ADU,1.372128948259131e-80,2.744257896518262e-80,-50.44913614654267,115,1.109955338278613,0.20799166847020623
J. Go,ADU,3.511115715461273e-88,7.022231430922546e-88,59.74465201006981,114,1.069069033209914,0.20095522521373826
F. Serrano,NU,4.765139173069799e-62,9.530278346139599e-62,35.80869345454358,108,0.9747507648859407,0.18699369773153168
M. Dyke,UST,8.89408298227689e-123,1.778816596455378e-122,150.22542733112567,103,1.0290142308087544,0.20129082364563652
M. Nieto,ADU,3.1927315933443158e-55,6.3854631866886316e-55,34.61546422585859,93,0.9992277938459763,0.2051395282081868
T. Ravena,ADMU,6.14553895115211e-57,1.229107790230422e-56,31.784466639629517,108,1.1024278979935809,0.21148695292620937
A. Asistio,ADMU,2.141778872488268e-34,4.283557744976536e-34,18.273581241788598,103,1.1069800290444245,0.2165421187911983
A. Kouame,UE,6.593827779151808e-12,1.3187655558303616e-11,7.6944392152592105,95,0.9797855025799169,0.19897486446624996
I. Go,ADMU,1.3162569227358462e-49,2.6325138454716925e-49,26.9923637854069,106,1.0958205534186132,0.21180064278367602
T. Tio,ADMU,2.9488904912540267e-99,5.8977809825080534e-99,93.0751695194473,100,1.000497718413856,0.1982805950855021
R. Verano,NU,4.037151122522928e-83,8.074302245045856e-83,61.21699852233579,103,1.0288956457066885,0.20126762659728453
A. Wong,DLSU,9.820447126586274e-87,1.9640894253172548e-86,73.92905869082482,96,1.0574503841765353,0.21363723926272796
J. Mendoza,FEU,5.033648034780642e-58,1.0067296069561284e-57,36.89940649698188,94,1.1587939398283362,0.23658917117580341
W. Navarro,UST,4.0941365297753305e-61,8.188273059550661e-61,44.079138502090046,86,1.0243181437231805,0.2198091961243886
P. Sarr,FEU,6.553669556295882e-58,1.3107339112591763e-57,-37.17376815359089,93,1.1152164265630675,0.22895176956059696
V. Magbuhos,NU,2.0970091234355343e-59,4.194018246871069e-59,41.4846148907833,87,1.12680537418569,0.24011311244480302
S. Manganti,FEU,7.363673662025689e-23,1.4727347324051377e-22,-13.095462878325346,90,1.1281169636144053,0.2357304990806684
C. Catapusan,NU,1.5080205465550386e-72,3.016041093110077e-72,61.49478689998925,85,1.0557046545713866,0.22819820520432527
J. Espeleta,FEU,3.3425893518116336e-32,6.685178703623267e-32,-20.082239482860068,75,1.0396176961121115,0.2462872731012568
J. Lastimosa,FEU,3.5938434779761923e-65,7.187686955952385e-65,-59.49145054154804,75,1.0213124669316826,0.24195073189461772
J. Pingoy,ADU,3.3119002494724783e-53,6.6238004989449565e-53,33.77675424225985,90,1.1361630303453307,0.2374117993246081
E. Mojica,DLSU,4.1448041173006595e-32,8.289608234601319e-32,18.551207315763783,86,1.0593035546797431,0.22731674161264037
S. Camacho,ADMU,1.9102504077645487e-35,3.8205008155290974e-35,20.046346711076485,91,1.0885228943177998,0.22607610580215454
G. Mahinay,FEU,4.7749952179852745e-32,9.549990435970549e-32,18.85822901056261,83,1.0909198783282945,0.23947105518076806
L. Gonzales,UST,1.324811995316272e-52,2.649623990632544e-52,34.274285336734145,87,1.0811146789413448,0.2303767948018249
D. Murrell,ADMU,5.350574351338748e-94,1.0701148702677495e-93,101.24754398451209,89,1.0450751166566423,0.21975841708717003
B. Akhuetie,DLSU,4.1554114208233535e-69,8.310822841646707e-69,54.16643996707241,87,1.1132837425601394,0.2372317620986624
Ju. Gomez de Liaño,UST,2.2062910693955913e-58,4.4125821387911826e-58,40.82915891759929,86,1.053237127061461,0.22601494237546732
