player,team,p-value,unpaired-t,dof,sp,se
J. Mendoza,ADMU,0.937748342647689,0.07820421425157201,189,1.043486954082842,0.17288666436391734
W. Navarro,ADMU,0.04804016034075463,1.9896622147676584,193,0.9548775677751895,0.15370319301853796
P. Sarr,ADU,0.0676077594009706,1.836925645934859,214,0.898052743135376,0.12875635905215982
J. Ahanmisi,ADU,0.17200062750904932,-1.3692697494442243,283,1.0428962697669872,0.12355244756223632
V. Magbuhos,ADU,0.7562623454165428,0.3109119937595744,164,0.9691725014632092,0.213897315624945
S. Manganti,ADU,0.6301990933416963,0.4820240604888231,257,0.9543479044168289,0.11915698427208313
C. Catapusan,ADU,0.035659016772439954,2.1170697626346784,176,0.9826462966578529,0.1833630398956802
J. Espeleta,ADU,0.2109995822028772,1.2547079995273562,207,0.9979876065189262,0.14791653254793796
J. Lastimosa,ADU,0.5357042012007698,-0.6203534424041766,208,1.0227137385660272,0.15082214355052695
J. Pingoy,ADU,0.3403952369663381,0.9558773220772403,183,1.0244393537588201,0.17831739775961858
E. Mojica,ADU,0.02030952118598124,2.3423091681846624,172,0.9954166244804636,0.19478717202224546
S. Camacho,ADU,0.4293639602947761,0.7920096755376032,186,0.9524517100572069,0.1615841665444867
G. Mahinay,UST,0.2822777287378933,1.078464348880706,179,0.963320914433287,0.17415413919744918
L. Gonzales,FEU,0.7519724938832817,0.31653662082532347,175,1.0245214791684374,0.19334346906842073
D. Murrell,UP,0.3077873535420286,1.0230190831241064,166,0.9629474297135246,0.2054122657415418
B. Akhuetie,UP,0.7957588230885647,-0.2591960285607909,194,0.9055139379186719,0.14477118293244653
Ju. Gomez de Liaño,UP,0.8103616635270015,-0.24019994672452777,264,0.9775243123003607,0.12014712172996347
P. Desiderio,UP,0.7608428485173112,0.30470830315928793,249,0.9872869526922335,0.12572534536487426
J. Manzo,UP,0.12886614753721445,1.5248278349973237,202,0.9327806346107465,0.14198896317845155
C. Vito,UP,0.9112457108942345,0.11163957403559664,164,0.9874424039058739,0.21792950089982194
D. Dario,UP,0.1842986832190179,-1.3329880329178965,172,1.0672987007295904,0.20885334894486088
Ja. Gomez de Liaño,UP,0.941582053042231,-0.07336975705874031,209,1.002110108237594,0.14705776219601888
F. Jaboneta,UP,0.11560017149259907,1.58194669462786,163,1.0034683591636753,0.2255472649048826
S. Belangel,ADMU,0.5605231592823012,0.5831250105925394,184,0.9991855312800025,0.17239795039505118
J. Nieto,ADMU,0.2612710569122549,1.1271415610604179,170,0.9991859856296921,0.20077320785475522
G. Mamuyac,ADMU,0.6413883840705794,-0.46660814591287797,167,1.0124993289519746,0.21257492870318137
B. Bienes,FEU,0.7864166806598663,-0.2713643570786859,183,1.0200568846517373,0.17755457028323396
J. Manuel,DLSU,0.11911431466325301,1.5659600067617294,180,1.0102364613266304,0.1808358638410474
J. Cullar,UE,0.7401710592366354,0.33215322366050226,175,0.983780718944548,0.18565504078816164
M. Maloles,UE,0.11503578231045948,1.5837497268122598,177,1.0134823766640437,0.18706721578078075
C. Conner,UE,0.5286199650578031,0.6312328963577738,197,0.959243830394684,0.15040904465686697
A. Pasaol,UE,0.32900357609771613,0.9777632331735888,291,0.8799335603617741,0.10286107201114772
J. Varilla,UE,0.38767072865380714,0.8654500495620213,236,1.0126055872225677,0.13379781129438106
P. Manalang,UE,0.054275540057360516,1.9343939383398798,233,0.9704068151995368,0.12945002021818094
R. Acuno,UE,0.13113603523169376,1.5172682149763153,163,0.9775793694366038,0.21972825649194358
W. Bartolome,UE,0.7577864284452985,0.3088384046809123,188,0.9427048910936813,0.15739385406227663
